ID,Error grading project,Project has at least three sprites.,Left Sprite handles click.,Left Sprite gets bigger.,Then Left Sprite has at least two say blocks.,The Left Sprite resets size.,Middle Sprite handles click.,Middle Sprite gets bigger.,Then Middle Sprite has at least two say blocks.,The Middle Sprite resets size.,Right Sprite handles click.,Right Sprite gets bigger.,Then Right Sprite has at least two say blocks.,The Right Sprite resets size.
10JCL06,0,1,0,0,0,0,0,0,0,0,0,0,0,0
11JCL06,0,1,1,1,1,1,1,1,1,1,1,1,1,1
12JCL06,0,1,1,1,1,1,0,0,0,0,1,1,0,1
13JCL06,0,1,1,1,1,1,1,0,0,0,1,1,1,1
14JCL06,0,1,1,1,1,1,1,0,1,0,0,0,0,0
15JCL06,0,1,1,1,1,1,1,0,0,0,1,1,0,0
16JCL06,0,1,1,1,1,1,1,1,1,1,1,1,1,1
17JCL06,0,1,1,1,1,1,1,0,1,0,1,0,1,0
18JCL06,1,0,0,0,0,0,0,0,0,0,0,0,0,0
19JCL06,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1JCL06,0,1,1,0,1,0,1,0,1,0,1,0,1,0
20JCL06,0,1,1,1,1,1,1,1,1,1,1,1,1,1
21JCL06,1,0,0,0,0,0,0,0,0,0,0,0,0,0
22JCL06,1,0,0,0,0,0,0,0,0,0,0,0,0,0
24JCL06,0,1,1,0,0,0,1,0,0,0,1,0,0,0
26JCL06,0,1,1,1,1,1,1,1,1,1,1,1,1,1
27JCL06,0,1,1,0,1,0,1,0,0,0,1,0,1,0
28JCL06,0,1,0,0,0,0,0,0,0,0,0,0,0,0
29JCL06,0,1,1,1,1,1,1,1,1,1,1,1,1,1
2JCL06,0,1,1,1,1,1,1,0,0,0,1,1,1,0
30JCL06,0,1,1,1,0,1,1,1,0,1,1,1,0,0
31JCL06,0,1,1,0,1,0,1,0,1,0,1,0,1,0
32JCL06,0,1,1,1,1,1,1,1,0,1,1,1,0,1
3JCL06,1,0,0,0,0,0,0,0,0,0,0,0,0,0
4JCL06,1,0,0,0,0,0,0,0,0,0,0,0,0,0
6JCL06,0,1,1,1,1,1,1,1,1,0,1,1,1,1
7JCL06,0,1,1,1,1,1,1,1,1,1,1,1,1,1
8JCL06,1,0,0,0,0,0,0,0,0,0,0,0,0,0
9JCL06,0,1,1,1,1,1,1,1,1,1,1,1,1,1

