ID,Error grading project,Project has at least three sprites.,Left Sprite handles click.,Left Sprite gets bigger.,Then Left Sprite has at least two say blocks.,The Left Sprite resets size.,Middle Sprite handles click.,Middle Sprite gets bigger.,Then Middle Sprite has at least two say blocks.,The Middle Sprite resets size.,Right Sprite handles click.,Right Sprite gets bigger.,Then Right Sprite has at least two say blocks.,The Right Sprite resets size.
11JCL220,1
13JCL220,0,1,1,1,1,1,1,1,1,1,1,1,1,1
14JCL220,0,1,1,1,1,1,1,1,0,1,1,1,0,1
16JCL220,1,0,0,0,0,0,0,0,0,0,0,0,0,0
17JCL220,0,1,1,0,0,0,1,0,0,0,1,0,0,0
18JCL220,0,1,1,1,1,1,1,1,1,1,1,1,1,1
19JCL220,0,1,1,1,1,1,1,1,1,1,1,1,1,1
21JCL220,1,0,0,0,0,0,0,0,0,0,0,0,0,0
24JCL220,0,1,1,1,1,1,1,1,1,1,1,1,1,1
25JCL220,0,1,1,1,1,1,1,1,1,1,1,1,1,1
26JCL220,0,1,1,1,1,1,1,1,1,1,1,1,1,1
27JCL220,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2JCL220,0,1,1,1,1,1,1,0,0,0,1,1,1,1
30JCL220,0,1,1,0,0,0,1,0,0,0,1,0,0,0
31JCL220,1,0,0,0,0,0,0,0,0,0,0,0,0,0
32JC220,1,0,0,0,0,0,0,0,0,0,0,0,0,0
33JCL220,0,1,1,1,1,1,1,1,0,1,1,1,1,1
34JCL220,0,1,1,1,1,1,1,1,1,1,1,1,1,1
4JCL220,1,0,0,0,0,0,0,0,0,0,0,0,0,0
5JCL220,1,0,0,0,0,0,0,0,0,0,0,0,0,0
7JCL220,1,0,0,0,0,0,0,0,0,0,0,0,0,0
8JCL220,0,1,1,1,1,1,1,1,1,1,1,1,1,1
9JCL220,1,0,0,0,0,0,0,0,0,0,0,0,0,0
