ID,Error grading project,Project has at least three sprites.,Left Sprite handles click.,Left Sprite gets bigger.,Then Left Sprite has at least two say blocks.,The Left Sprite resets size.,Middle Sprite handles click.,Middle Sprite gets bigger.,Then Middle Sprite has at least two say blocks.,The Middle Sprite resets size.,Right Sprite handles click.,Right Sprite gets bigger.,Then Right Sprite has at least two say blocks.,The Right Sprite resets size.
RC7B1,0,1,1,1,1,1,1,0,0,0,0,0,0,0
RC7B10,0,1,1,1,1,1,1,1,1,1,1,1,1,1
RC7B11,1,0,0,0,0,0,0,0,0,0,0,0,0,0
RC7B12,0,1,0,0,0,0,0,0,0,0,0,0,0,0
RC7B13,0,1,1,1,1,1,1,0,0,0,0,0,0,0
RC7B14,0,1,1,1,1,1,1,0,0,0,0,0,0,0
RC7B15,0,1,1,1,1,1,0,0,0,0,0,0,0,0
RC7B16,0,1,1,1,1,1,1,0,0,0,0,0,0,0
RC7B17,0,1,1,1,1,1,1,1,1,0,1,1,0,0
RC7B18,1,0,0,0,0,0,0,0,0,0,0,0,0,0
RC7B19,0,1,1,1,1,1,1,1,1,1,1,1,1,1
RC7B2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
RC7B20,0,1,1,1,1,1,1,1,1,1,0,0,0,0
RC7B21,0,1,1,0,1,0,1,0,0,0,1,0,0,0
RC7B23,0,1,1,1,1,1,1,0,0,0,0,0,0,0
RC7B24,1,0,0,0,0,0,0,0,0,0,0,0,0,0
RC7B25,0,1,1,1,1,1,1,0,0,0,0,0,0,0
RC7B26,0,1,1,1,1,1,1,0,0,0,0,0,0,0
RC7B27,0,1,1,1,1,1,1,0,0,0,0,0,0,0
RC7B28,0,1,1,1,1,1,1,0,0,0,0,0,0,0
RC7B29,0,1,1,0,1,0,1,0,0,0,0,0,0,0
RC7B3,0,1,1,1,1,1,1,0,0,0,0,0,0,0
RC7B31,0,1,1,1,1,1,1,0,0,0,0,0,0,0
RC7B4,1,0,0,0,0,0,0,0,0,0,0,0,0,0
RC7B5,1,0,0,0,0,0,0,0,0,0,0,0,0,0
RC7B6,1,0,0,0,0,0,0,0,0,0,0,0,0,0
RC7B7,0,1,1,1,1,1,1,0,0,0,0,0,0,0
RC7B8,0,1,1,1,1,1,1,1,1,1,1,1,1,1
RC7B9,0,1,1,1,1,1,1,0,0,0,0,0,0,0

