ID,Error grading project,Project has at least three sprites.,Left Sprite handles click.,Left Sprite gets bigger.,Then Left Sprite has at least two say blocks.,The Left Sprite resets size.,Middle Sprite handles click.,Middle Sprite gets bigger.,Then Middle Sprite has at least two say blocks.,The Middle Sprite resets size.,Right Sprite handles click.,Right Sprite gets bigger.,Then Right Sprite has at least two say blocks.,The Right Sprite resets size.

coderkid280,0,1,1,1,1,1,1,0,0,0,1,1,1,1
coderkid281,0,1,1,1,1,1,1,0,0,0,0,0,0,0
coderkid282,0,1,1,0,1,0,1,0,0,0,1,0,1,0
coderkid283,0,1,1,1,1,1,1,1,1,1,1,1,1,0
coderkid285,0,1,1,1,1,1,1,0,0,0,1,1,1,1
coderkid287,0,1,1,1,1,0,1,1,1,0,1,1,1,0
coderkid288,0,1,1,1,1,1,1,0,0,0,0,0,0,0
coderkid289,0,1,1,1,1,1,1,0,0,0,1,1,1,1
coderkid291,0,1,1,1,1,0,1,0,0,0,1,1,1,0
coderkid292,0,1,1,1,1,1,1,0,0,0,1,1,1,1
coderkid295,0,1,1,1,1,0,0,0,0,0,0,0,0,0
coderkid296,1,0,0,0,0,0,0,0,0,0,0,0,0,0
coderkid297,0,1,1,1,1,1,1,0,0,0,0,0,0,0
coderkid301,0,1,1,1,1,1,1,0,0,0,0,0,0,0
coderkid302,0,1,1,1,1,0,1,1,1,1,1,1,1,1
coderkid303,0,1,1,1,1,0,1,0,0,0,1,1,1,0
coderkid306,0,1,1,1,1,1,1,0,0,0,0,0,0,0
coderkid307,1,0,0,0,0,0,0,0,0,0,0,0,0,0
coderkid308,0,1,1,1,1,1,1,0,0,0,0,0,0,0
coderkid312,0,1,1,1,1,1,0,0,0,0,0,0,0,0
coderkid319,0,1,1,0,1,0,1,0,0,0,1,0,1,0
coderkid333,0,1,1,1,1,1,1,0,0,0,0,0,0,0
