ID,Error grading project,Three sprites react to being clicked.,Three sprites get bigger when clicked.,After getting bigger the sprites talk twice.,After talking twice the sprites reset to their original size.
291175693,0,1,0,0,0
291176896,0,0,0,0,0
291177564,0,0,0,0,0
291178486,0,0,0,0,0
291178708,0,0,0,0,0
291178766,0,1,1,1,1
291178773,0,0,0,0,0
291178774,0,0,0,0,0
291178811,0,0,0,0,0
291178818,0,0,0,0,0
291178841,0,1,0,0,0
291178869,0,0,0,0,0
291178913,0,1,1,0,0
291178933,0,0,0,0,0
291178974,0,0,0,0,0
291179136,0,1,1,0,1
291179337,0,0,0,0,0
291179349,0,1,1,1,1
291179358,0,0,0,0,0
291179365,0,0,0,0,0
291179416,0,0,0,0,0
291179429,0,0,0,0,0
291179713,0,0,0,0,0
291179943,0,0,0,0,0
291180784,0,1,1,1,1
291180806,0,0,0,0,0
291180953,0,0,0,0,0
291181184,0,0,0,0,0
291182741,0,0,0,0,0
