ID,Error grading project,Background has an image.,There are three sprites.,Sprite 1 has at least two events.,Sprite 2 has at least two events.,Sprite 3 has at least two events.,Sprite 1 events have actions.,Sprite 2 events have actions.,Sprite 3 events have actions.
13JCL220,0,1,0,0,0,0,0,0,0
15JCL220,0,1,0,0,0,0,0,0,0
16JCL220,0,1,1,1,0,1,1,0,1
18JCL220,0,1,1,0,0,0,0,0,0
1JCL220,0,1,1,0,0,0,0,0,0
21JCL220,0,1,0,1,0,0,1,0,0
24JCL220,0,1,1,0,0,0,0,0,0
25JCL220,0,0,0,1,0,0,1,0,0
26JCL220,0,0,1,1,1,1,1,1,1
27JCL220,0,0,0,0,0,0,0,0,0
29JCL220,0,1,1,0,0,0,0,0,0
2JCL220,0,1,0,0,0,0,0,0,0
30JCL220,0,1,0,0,0,0,0,0,0
31JCL220,0,1,1,0,0,0,0,0,0
33JCL220,0,1,0,0,0,0,0,0,0
34JCL220,0,1,1,1,1,0,1,1,0
7JCL220,0,1,0,0,0,0,0,0,0
8JCL220,0,1,1,1,1,1,1,1,1
9JCL220,0,1,1,0,0,0,0,0,0
