ID,Error grading project,Background has an image.,There are at least 3 sprites.,Chosen sprite has a loop.,Chosen sprite moves.,Chosen sprite changes costume.,Chosen sprite has a wait block.,Chosen sprite does a complex dance.,Another sprite is animated.,A third sprite is animated.
402lab,0,1,1,1,1,0,1,0,1,0
grayscratchencore1,0,1,1,1,0,1,1,0,0,0
grayscratchencore10,0,1,1,1,1,1,1,1,0,0
grayscratchencore13,0,1,1,1,0,1,1,0,0,0
grayscratchencore14,0,1,1,1,0,1,1,0,0,0
grayscratchencore15,0,1,1,1,0,1,1,0,0,0
grayscratchencore16,0,1,1,1,0,1,1,0,0,0
grayscratchencore17,0,1,1,1,1,1,1,1,1,1
grayscratchencore18,0,1,1,1,0,1,1,0,0,0
grayscratchencore2,0,1,1,1,1,1,1,1,0,0
grayscratchencore20,0,1,1,1,0,1,1,0,1,1
grayscratchencore21,0,1,1,1,1,1,1,1,0,0
grayscratchencore22,0,1,1,1,1,1,1,1,0,0
grayscratchencore23,0,1,1,1,0,1,1,0,1,1
grayscratchencore24,0,1,0,0,1,0,0,0,0,0
grayscratchencore26,0,1,1,1,0,1,1,0,1,1
grayscratchencore27,0,1,1,1,0,1,1,0,1,0
grayscratchencore28,0,1,1,1,0,1,1,0,1,1
grayscratchencore3,0,1,1,1,0,1,1,0,1,1
grayscratchencore4,0,1,1,1,1,1,1,1,0,0
grayscratchencore5,0,1,1,1,0,1,1,0,0,0
grayscratchencore6,0,1,1,1,0,1,1,0,0,0
grayscratchencore7,0,1,1,1,0,1,1,0,1,1
grayscratchencore8,0,1,1,1,0,1,1,0,0,0
grayscratchencore9,0,1,1,1,1,1,1,1,0,0
