ID,Error grading project,Background has an image.,There are at least 3 sprites.,Chosen sprite has a loop.,Chosen sprite moves.,Chosen sprite changes costume.,Chosen sprite has a wait block.,Chosen sprite does a complex dance.,Another sprite is animated.,A third sprite is animated.

coderkid224,0,1,0,0,0,1,0,0,0,0
coderkid225,0,1,1,1,1,1,1,1,0,0
coderkid226,0,1,1,1,0,1,1,0,0,0
coderkid227,0,1,1,1,1,1,1,1,1,0
coderkid229,0,1,1,1,1,1,1,1,0,0
coderkid231,0,1,1,0,1,1,1,0,0,0
coderkid232,0,1,1,1,1,1,1,1,0,0
coderkid235,0,1,1,0,0,1,1,0,0,0
coderkid236,0,1,1,0,0,1,1,0,0,0
coderkid239,0,1,1,1,1,1,1,1,1,0
coderkid240,0,1,1,1,0,1,1,0,0,0
coderkid242,0,1,1,1,0,1,1,0,0,0
coderkid244,0,1,0,0,0,1,1,0,0,0
coderkid245,0,1,0,0,0,0,0,0,0,0
coderkid247,0,1,1,0,0,1,0,0,0,0
coderkid248,0,1,0,0,0,0,0,0,0,0
coderkid250,0,1,0,0,0,0,0,0,0,0
coderkid251,0,1,1,0,0,1,0,0,0,0
coderkid256,0,1,1,0,0,0,0,0,0,0
