ID,Error grading project,Project has at least three sprites.,Left Sprite handles click.,Left Sprite gets bigger.,Then Left Sprite has at least two say blocks.,The Left Sprite resets size.,Middle Sprite handles click.,Middle Sprite gets bigger.,Then Middle Sprite has at least two say blocks.,The Middle Sprite resets size.,Right Sprite handles click.,Right Sprite gets bigger.,Then Right Sprite has at least two say blocks.,The Right Sprite resets size.
5thLRG1,1
5thLRG10,1
5thLRG11,0,1,1,1,1,1,1,1,1,1,1,0,1,0
5thLRG12,0,1,1,1,1,1,1,1,1,1,1,1,1,1
5thLRG13,0,1,1,1,0,0,1,1,1,1,1,1,0,0
5thLRG14,1,0,0,0,0,0,0,0,0,0,0,0,0,0
5thLRG15,1,0,0,0,0,0,0,0,0,0,0,0,0,0
5thLRG16,0,1,1,1,0,1,1,1,0,1,1,1,0,1
5thLRG18,0,1,1,1,1,1,0,0,0,0,1,1,1,1
5thLRG19,0,1,1,1,1,1,1,1,1,1,1,1,1,1
5thLRG2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
5thLRG20,1,0,0,0,0,0,0,0,0,0,0,0,0,0
5thLRG21,0,1,1,1,1,1,1,1,1,1,1,1,1,1
5thLRG22,0,1,1,1,1,1,1,1,0,0,1,1,1,1
5thLRG23,0,1,1,1,1,1,1,1,1,1,1,1,1,1
5thLRG24,1,0,0,0,0,0,0,0,0,0,0,0,0,0
5thLRG25,0,1,1,1,1,1,1,1,1,1,1,1,1,1
5thLRG26,1,0,0,0,0,0,0,0,0,0,0,0,0,0
5thLRG27,0,1,1,1,1,1,1,1,1,1,1,1,1,1
5thLRG28,1,0,0,0,0,0,0,0,0,0,0,0,0,0
5thLRG29,0,1,1,0,1,0,1,0,1,0,1,0,1,0
5thLRG3,1,0,0,0,0,0,0,0,0,0,0,0,0,0
5thLRG30,1,0,0,0,0,0,0,0,0,0,0,0,0,0
5thLRG31,1,0,0,0,0,0,0,0,0,0,0,0,0,0
5thLRG4,0,1,1,1,1,1,1,0,0,0,1,1,1,1
5thLRG5,0,1,1,1,1,1,1,1,1,1,1,1,1,1
5thLRG6,0,1,1,1,1,1,1,1,1,1,1,1,1,1
5thLRG7,1,0,0,0,0,0,0,0,0,0,0,0,0,0
5thLRG8,0,1,1,1,1,1,1,1,1,1,1,1,1,1
5thLRG9,0,1,1,1,1,1,1,0,0,0,1,1,1,1

