ID,Error grading project,Project has at least three sprites.,Left Sprite handles click.,Left Sprite gets bigger.,Then Left Sprite has at least two say blocks.,The Left Sprite resets size.,Middle Sprite handles click.,Middle Sprite gets bigger.,Then Middle Sprite has at least two say blocks.,The Middle Sprite resets size.,Right Sprite handles click.,Right Sprite gets bigger.,Then Right Sprite has at least two say blocks.,The Right Sprite resets size.
11JCL219,0,1,1,1,1,1,1,1,0,1,1,1,1,1
12JCL219,0,1,1,1,1,1,1,0,0,0,1,1,1,1
13JCL219,0,1,1,1,1,1,1,1,1,1,1,1,1,1
14JCL219,0,1,1,1,1,1,1,1,1,1,1,1,1,1
15JCL219,1,0,0,0,0,0,0,0,0,0,0,0,0,0
17JCL219,0,1,1,1,1,1,1,1,0,1,1,1,0,1
18JCL219,0,1,1,1,1,1,1,1,1,1,1,1,1,1
19JCL219,0,1,1,1,1,1,1,0,0,0,1,1,1,1
1JCL219,0,1,1,1,1,1,1,1,0,1,1,1,1,1
22JCL219,0,1,1,1,1,1,1,1,1,1,1,1,1,1
23JCL219,0,1,1,1,1,1,1,0,0,0,0,0,0,0
24JCL219,1,0,0,0,0,0,0,0,0,0,0,0,0,0
25JCL219,0,1,0,0,0,0,1,0,0,0,0,0,0,0
26JCL219,0,1,1,1,0,1,1,0,0,0,1,1,0,0
2JCL219,0,1,1,1,1,1,1,0,0,0,1,1,1,1
3JCL219,1,0,0,0,0,0,0,0,0,0,0,0,0,0
4JCL219,0,1,1,1,1,0,1,0,0,0,1,1,0,0
6JCL219,0,1,1,1,1,1,1,1,1,1,1,1,1,0
7JCL219,0,1,1,1,1,1,1,1,1,1,1,1,1,1
8JCL219,1,0,0,0,0,0,0,0,0,0,0,0,0,0
9JCL219,0,1,1,1,1,1,1,1,0,1,1,1,1,1
