ID,Error grading project,Three sprites react to being clicked.,Three sprites get bigger when clicked.,After getting bigger the sprites talk twice.,After talking twice the sprites reset to their original size.
315006236,0,1,1,1,0
315006522,0,0,0,0,0
315006594,0,1,0,0,0
315007962,0,1,1,0,1
315009350,0,0,1,0,0
315009430,0,1,1,1,1
315009435,0,1,1,0,0
315009451,0,1,1,1,1
315010837,0,1,1,1,1
315011474,0,1,1,1,1
315011534,0,0,0,0,0
315011979,0,1,0,0,0
315012247,0,1,1,1,1
315012554,0,1,1,1,1
315013101,0,1,1,1,1
315013427,0,1,1,1,1
315013613,0,1,1,1,1
315013894,0,1,1,1,1
315014344,0,1,1,1,1
315014683,0,0,1,0,0
315014995,0,1,1,0,1
315015010,0,1,1,0,0
315015053,0,1,1,1,1
315015206,0,1,0,0,0
