ID,Error grading project,Three sprites react to being clicked.,Three sprites get bigger when clicked.,After getting bigger the sprites talk twice.,After talking twice the sprites reset to their original size.
286560566,0,1,1,1,1
286562960,0,0,0,0,0
286562962,0,1,1,1,1
286562964,0,1,1,0,1
286562966,0,1,1,1,1
286562971,0,1,1,1,1
286562972,0,1,1,0,1
286562973,0,1,1,0,1
286562974,0,1,0,0,0
286562976,0,1,1,1,1
286562977,0,1,0,0,0
286562984,0,0,0,0,0
286562986,0,1,1,0,0
286562989,0,1,1,0,1
286562995,0,1,1,1,0
286563006,0,0,0,0,0
286563007,0,0,0,0,0
286563025,0,1,1,1,1
286563032,0,1,1,1,1
286563040,0,1,1,0,1
286563058,0,0,0,0,0
286563095,0,0,0,0,0
286563123,0,0,0,0,0
286563125,0,1,1,0,1
286563219,0,0,0,0,0
286563641,0,1,0,0,0
286563712,0,1,1,0,1
286563833,0,0,0,0,0
286570672,0,1,1,0,1
