ID,Error grading project,Project has at least three sprites.,Left Sprite handles click.,Left Sprite gets bigger.,Then Left Sprite has at least two say blocks.,The Left Sprite resets size.,Middle Sprite handles click.,Middle Sprite gets bigger.,Then Middle Sprite has at least two say blocks.,The Middle Sprite resets size.,Right Sprite handles click.,Right Sprite gets bigger.,Then Right Sprite has at least two say blocks.,The Right Sprite resets size.
001JCL08,0,1,1,1,1,1,1,1,0,1,1,1,1,1
07JCL08,0,1,1,1,1,1,1,1,1,1,1,1,1,1
08JCL08,0,1,1,1,1,1,1,1,1,1,1,1,1,1
11JCL08,0,1,1,1,1,1,1,0,1,0,1,0,1,0
12JCL08,0,1,1,1,1,1,1,1,1,1,1,1,1,1
15JCL08,0,1,1,1,1,1,1,0,0,0,1,0,0,0
16JCL08,0,1,1,1,1,1,1,1,1,1,1,1,0,0
22JCL08,0,1,1,1,1,1,1,1,0,1,1,1,0,1
23JCL08,0,1,1,1,1,1,1,0,0,0,1,1,1,1
24JCL08,1,0,0,0,0,0,0,0,0,0,0,0,0,0
25JCL08,0,1,1,1,1,1,1,0,0,0,1,1,1,1
28JCL08,0,1,1,1,1,1,1,1,1,1,1,1,1,1
29JCL08,0,1,1,1,1,1,1,1,1,1,1,1,1,1
30JCL08,1,0,0,0,0,0,0,0,0,0,0,0,0,0
32JCL08,0,1,1,1,1,1,1,0,0,0,1,1,1,1

