ID,Error grading project,Three sprites react to being clicked.,Three sprites get bigger when clicked.,After getting bigger the sprites talk twice.,After talking twice the sprites reset to their original size.
305752268,0,0,0,0,0
305755181,0,0,0,0,0
305996777,0,1,0,0,0
305997316,0,1,1,1,1
305998152,0,1,1,0,1
305998437,0,0,0,0,0
305999162,0,1,1,0,1
306001072,0,0,0,0,0
306002916,0,1,0,0,0
306002933,0,1,1,1,0
306003013,0,1,1,1,0
306003211,0,0,0,0,0
306003626,0,1,1,0,1
306004602,0,1,1,1,1
306004673,0,0,0,0,0
306004718,0,1,1,0,1
306005035,0,1,1,1,1
306007620,0,1,1,1,1
306009429,0,1,1,1,1
306593210,0,0,0,0,0
306593899,0,0,0,0,0
307149060,0,1,1,1,1
