ID,Error grading project,Three sprites react to being clicked.,Three sprites get bigger when clicked.,After getting bigger the sprites talk twice.,After talking twice the sprites reset to their original size.
287974391,0,1,0,0,0
287975350,0,1,1,1,1
287975362,0,1,1,1,1
287976281,0,1,1,1,1
287976399,0,1,1,1,1
287976534,0,1,1,1,1
287977264,0,1,1,1,1
287977269,0,1,1,1,1
287977707,0,1,1,1,1
287977730,0,1,1,1,1
287978256,0,1,0,0,0
287978609,0,1,1,0,1
287979088,0,1,1,1,0
287979248,0,1,0,0,0
287979434,0,1,1,1,1
287979821,0,1,1,1,1
287981111,0,0,0,0,0
289695983,0,1,1,1,1
289697828,0,1,0,0,0
289700899,0,1,1,1,1
289702138,0,1,1,1,1
289702428,0,1,1,0,1
289711222,0,0,0,0,0
