ID,Error grading project,Background has an image.,There are three sprites.,Sprite 1 has at least two events.,Sprite 2 has at least two events.,Sprite 3 has at least two events.,Sprite 1 events have actions.,Sprite 2 events have actions.,Sprite 3 events have actions.
10JCL06,0,1,1,1,1,1,1,1,1
11JCL06,0,1,1,0,1,1,0,1,1
12JCL06,0,1,1,0,0,0,0,0,0
13JCL06,0,1,1,1,1,1,1,1,1
14JCL06,0,1,0,0,0,0,0,0,0
15JCL06,0,1,1,0,0,0,0,0,0
16JCL06,0,1,1,1,1,1,1,1,1
17JCL06,0,1,1,1,0,0,1,0,0
18JCL06,0,1,1,0,0,0,0,0,0
19JCL06,0,1,1,1,1,1,1,1,1
1JCL06,0,1,1,1,1,1,1,1,1
20JCL06,0,1,1,1,1,1,1,1,1
21JCL06,0,1,1,1,0,0,1,0,0
22JCL06,0,0,1,1,0,0,1,0,0
23JCL06,0,0,1,1,1,1,1,1,1
24JCL06,0,1,1,1,1,1,1,1,1
25JCL06,0,1,0,1,0,0,1,0,0
26JCL06,0,0,0,1,1,0,1,1,0
27JCL06,0,1,1,0,0,0,0,0,0
28JCL06,0,1,1,0,0,0,0,0,0
29JCL06,0,1,1,0,0,0,0,0,0
2JCL06,0,0,1,0,0,1,0,0,1
30JCL06,0,1,1,1,0,0,1,0,0
31JCL06,0,1,0,1,0,0,1,0,0
32JCL06,0,1,1,1,0,1,1,0,1
3JCL06,0,0,0,0,0,0,0,0,0
4JCL06,0,1,0,1,0,0,1,0,0
5JCL06,0,1,1,1,0,1,1,0,1
6JCL06,0,0,0,1,0,0,1,0,0
7JCL06,0,1,1,1,1,1,1,1,1
8JCL06,0,1,1,1,1,1,1,1,1
9JCL06,0,1,1,0,0,0,0,0,0
