ID,Error grading project,The backdrop of the project was changed,There are at least three sprites,A sprite has two required events,A second sprite has two required events,A third sprite has two required events,A sprite has two scripts with unique events,A second sprite has two scripts with unique events,A third sprite has two scripts with unique events,Uses all event blocks from lesson plan
305997461,0,1,1,1,1,1,1,1,1,0
306002073,0,1,1,0,0,0,0,0,0,0
306005222,0,1,1,1,0,0,1,0,0,1
306006034,0,1,1,0,0,0,0,0,0,0
306007123,0,1,0,1,0,0,1,0,0,1
306585346,0,1,1,0,0,0,0,0,0,1
306589319,0,1,1,0,0,0,0,0,0,0
306590145,0,1,1,1,0,0,1,0,0,1
306590230,0,1,1,0,0,0,0,0,0,0
306590315,0,1,1,1,1,0,1,1,0,1
306590344,0,1,1,1,0,0,1,0,0,0
306592438,0,1,0,0,0,0,0,0,0,0
306592582,0,1,1,0,0,0,0,0,0,0
306592584,0,1,1,1,0,0,0,0,0,0
306592725,0,1,1,1,1,1,1,1,1,1
306593993,0,1,0,0,0,0,0,0,0,0
306601092,0,1,1,1,1,0,1,1,0,1
307146308,0,1,1,0,0,0,0,0,0,1
307153725,0,1,1,0,0,0,0,0,0,0
307156037,0,1,1,1,1,0,1,1,0,0
307496225,0,1,1,1,0,0,1,0,0,0
307497084,0,1,1,0,0,0,0,0,0,0
