ID,Error grading project,Background has an image.,There are at least 3 sprites.,Chosen sprite has a loop.,Chosen sprite moves.,Chosen sprite changes costume.,Chosen sprite has a wait block.,Chosen sprite does a complex dance.,Another sprite is animated.,A third sprite is animated.
RC7A1,0,1,1,0,0,0,1,0,0,0
RC7A10,0,1,1,0,0,1,1,0,0,0
RC7A11,0,1,1,1,1,0,1,0,1,1
RC7A12,0,1,1,0,0,0,0,0,0,0
RC7A14,0,1,1,1,1,0,1,0,0,0
RC7A15,0,1,1,1,1,1,1,1,1,1
RC7A16,0,1,1,0,1,0,0,0,0,0
RC7A17,0,1,1,1,1,1,1,1,0,0
RC7A18,0,1,1,1,0,1,1,0,0,0
RC7A19,0,1,1,0,0,0,0,0,0,0
RC7A20,0,1,1,1,0,1,1,0,1,0
RC7A23,0,1,1,1,1,1,1,1,0,0
RC7A24,0,1,1,0,0,1,1,0,0,0
RC7A25,0,1,1,0,0,0,0,0,0,0
RC7A26,0,1,1,0,1,1,0,0,0,0
RC7A27,0,1,1,1,1,1,1,1,1,0
RC7A28,0,1,1,0,0,1,1,0,0,0
RC7A3,0,1,0,1,0,1,1,0,0,0
RC7A31,0,1,1,1,0,1,1,0,1,1
RC7A32,0,1,1,0,0,1,1,0,0,0
RC7A7,0,1,1,1,0,1,0,0,0,0
RC7A8,0,1,1,1,0,1,1,0,0,0
RC7A9,0,1,1,1,0,1,0,0,0,0

