ID,Error grading project,Project has at least three sprites.,Left Sprite handles click.,Left Sprite gets bigger.,Then Left Sprite has at least two say blocks.,The Left Sprite resets size.,Middle Sprite handles click.,Middle Sprite gets bigger.,Then Middle Sprite has at least two say blocks.,The Middle Sprite resets size.,Right Sprite handles click.,Right Sprite gets bigger.,Then Right Sprite has at least two say blocks.,The Right Sprite resets size.
3rdLRGCcs1,1
3rdLRGCcs10,0,1,1,1,1,1,1,0,0,0,1,1,1,1
3rdLRGCcs11,0,1,1,1,1,1,1,1,1,1,1,1,1,1
3rdLRGCcs14,0,1,1,1,1,1,1,0,0,0,1,1,1,1
3rdLRGCcs15,0,1,1,1,1,1,1,1,1,1,1,1,1,1
3rdLRGCcs16,1,0,0,0,0,0,0,0,0,0,0,0,0,0
3rdLRGCcs17,0,1,1,1,1,1,1,0,0,0,0,0,0,0
3rdLRGCcs19,0,1,1,1,1,1,1,0,0,0,1,0,0,0
3rdLRGCcs2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
3rdLRGCcs20,0,1,1,1,1,0,1,0,0,0,1,0,0,0
3rdLRGCcs21,0,1,1,1,1,1,1,0,1,0,1,0,1,0
3rdLRGCcs22,0,1,1,1,1,1,1,0,1,0,1,0,1,0
3rdLRGCcs23,0,1,1,1,1,1,1,0,0,0,1,1,1,1
3rdLRGCcs24,0,1,1,1,1,1,1,0,0,0,1,1,1,1
3rdLRGCcs26,0,1,1,1,1,0,1,0,0,0,1,0,0,0
3rdLRGCcs27,0,1,1,1,1,1,1,0,0,0,0,0,0,0
3rdLRGCcs28,0,1,1,1,1,1,1,1,1,1,1,1,1,1
3rdLRGCcs29,0,1,1,1,1,1,1,0,0,0,1,1,1,1
3rdLRGCcs3,1,0,0,0,0,0,0,0,0,0,0,0,0,0
3rdLRGCcs30,0,1,1,1,1,1,1,1,1,1,1,1,1,1
3rdLRGCcs31,0,1,1,1,1,1,1,0,0,0,1,1,1,1
3rdLRGCcs4,0,1,1,1,1,1,1,0,1,0,1,0,0,0
3rdLRGCcs5,0,1,1,1,1,1,1,1,1,1,1,1,1,1
3rdLRGCcs6,0,1,1,1,1,1,1,0,1,0,1,1,1,1
3rdLRGCcs7,0,1,1,1,1,1,1,1,1,1,1,1,1,1
3rdLRGCcs8,0,1,1,1,1,1,1,1,1,1,1,1,1,1
3rdLRGCcs9,1,0,0,0,0,0,0,0,0,0,0,0,0,0

essentially_awesome,0,1,1,1,1,1,1,1,1,1,1,1,1,1
